date,hour_start,price_sterling,price_dollar,notes
01/01/2017,23,51.52,67.4912,
01/01/2017,0,51.95,68.0545,
01/01/2017,1,65,85.15,
01/01/2017,2,51.97,68.0807,
01/01/2017,3,41.92,54.9152,
01/01/2017,4,38.97,51.0507,
01/01/2017,5,37.69,49.3739,
01/01/2017,6,37.38,48.9678,
01/01/2017,7,28.88,37.8328,
01/01/2017,8,35.15,46.0465,
01/01/2017,9,39.19,51.3389,
01/01/2017,10,44.88,58.7928,
01/01/2017,11,48.66,63.7446,
01/01/2017,12,55.01,72.0631,
01/01/2017,13,60.75,79.5825,
01/01/2017,14,58,75.98,
01/01/2017,15,50,65.5,
01/01/2017,16,55,72.05,
01/01/2017,17,90,117.9,
01/01/2017,18,55,72.05,
01/01/2017,19,49.27,64.5437,
01/01/2017,20,51.8,67.858,
01/01/2017,21,49.06,64.2686,
01/01/2017,22,43.46,56.9326,
02/01/2017,23,45.96,60.2076,
02/01/2017,0,43.95,57.5745,
02/01/2017,1,45,58.95,
02/01/2017,2,43.97,57.6007,
02/01/2017,3,42,55.02,
02/01/2017,4,41.14,53.8934,
02/01/2017,5,43.92,57.5352,
02/01/2017,6,51.74,67.7794,
02/01/2017,7,40.85,53.5135,
02/01/2017,8,43.07,56.4217,
02/01/2017,9,47.03,61.6093,
02/01/2017,10,48.1,63.011,
02/01/2017,11,47.47,62.1857,
02/01/2017,12,53.31,69.8361,
02/01/2017,13,51.14,66.9934,
02/01/2017,14,49.91,65.3821,
02/01/2017,15,50.95,66.7445,
02/01/2017,16,64.42,84.3902,
02/01/2017,17,90,117.9,
02/01/2017,18,66.27,86.8137,
02/01/2017,19,58.6,76.766,
02/01/2017,20,51.16,67.0196,
02/01/2017,21,50.23,65.8013,
02/01/2017,22,43.05,56.3955,
03/01/2017,23,45.54,59.6574,
03/01/2017,0,46.03,60.2993,
03/01/2017,1,42.98,56.3038,
03/01/2017,2,39.27,51.4437,
03/01/2017,3,37.72,49.4132,
03/01/2017,4,40.42,52.9502,
03/01/2017,5,42.8,56.068,
03/01/2017,6,50.55,66.2205,
03/01/2017,7,47.57,62.3167,
03/01/2017,8,52.1,68.251,
03/01/2017,9,56.27,73.7137,
03/01/2017,10,51.63,67.6353,
03/01/2017,11,48.18,63.1158,
03/01/2017,12,47.6,62.356,
03/01/2017,13,47.58,62.3298,
03/01/2017,14,47.57,62.3167,
03/01/2017,15,50.7,66.417,
03/01/2017,16,68.88,90.2328,
03/01/2017,17,1.28,1.6768,
03/01/2017,18,75.1,98.381,
03/01/2017,19,56.33,73.7923,
03/01/2017,20,59.48,77.9188,
03/01/2017,21,46.08,60.3648,
03/01/2017,22,42.51,55.6881,
04/01/2017,23,39.5,51.745,
04/01/2017,0,43.96,57.5876,
04/01/2017,1,42.06,55.0986,
04/01/2017,2,40.86,53.5266,
04/01/2017,3,38,49.78,
04/01/2017,4,37.99,49.7669,
04/01/2017,5,41.45,54.2995,
04/01/2017,6,48.73,63.8363,
04/01/2017,7,47.53,62.2643,
04/01/2017,8,50.54,66.2074,
04/01/2017,9,53.72,70.3732,
04/01/2017,10,54.88,71.8928,
04/01/2017,11,51.99,68.1069,
04/01/2017,12,48.05,62.9455,
04/01/2017,13,47.57,62.3167,
04/01/2017,14,47.27,61.9237,
04/01/2017,15,56.46,73.9626,
04/01/2017,16,62.99,82.5169,
04/01/2017,17,1.37,1.7947,
04/01/2017,18,80.01,104.8131,
04/01/2017,19,59.95,78.5345,
04/01/2017,20,54.33,71.1723,
